[2019-10-13 20:51:32] production.ERROR: Invalid 'From' address: '"Peri S" <>'.  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"users"} []
[2019-10-13 20:53:32] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Mobile Safari/537.36","locale":"en","ip":"182.65.249.135","count":2,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets"} []
[2019-10-13 20:56:13] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":3,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets"} []
[2019-10-13 21:02:51] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"PUT","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":4,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets/1"} []
[2019-10-13 21:04:55] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"PUT","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":5,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets/1"} []
[2019-10-13 21:08:27] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":6,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets"} []
[2019-10-13 21:13:27] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"PUT","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":7,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets/3"} []
[2019-10-13 21:15:23] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Repositories/TicketRepository.php [Line 279] => Call to undefined method App\Ninja\Repositories\TicketRepository::dispatch_now()  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"PUT","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":8,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets/3"} []
[2019-10-13 21:18:58] production.ERROR: No Account or Server API tokens were supplied in the HTTP headers. Please add a header for either X-Postmark-Server-Token or X-Postmark-Account-Token.  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":9,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets"} []
[2019-10-13 21:18:58] production.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : /var/www/invoiceninja-develop/app/Ninja/Tickets/Actions/TicketAgentNew.php [Line 64] => Type error: Return value of App\Ninja\Tickets\Actions\TicketAgentNew::fire() must be an instance of App\Ninja\Tickets\Actions\void, none returned  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":10,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets"} []
[2019-10-13 21:35:38] production.ERROR: No Account or Server API tokens were supplied in the HTTP headers. Please add a header for either X-Postmark-Server-Token or X-Postmark-Account-Token.  {"context":"PHP","user_id":1,"account_id":"1","user_name":"Peri S","method":"POST","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36","locale":"en","ip":"182.65.249.135","count":11,"is_console":"no","is_api":"no","db_server":"mysql","url":"tickets"} []
